"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Average Sales Price (ASP),Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
J0287,"Injection, amphotericin b lipid complex, 10 mg",Abelcet,Amphotericin B Lipid Complex,"$691,519","42,211","1,265",420,$16.38,$546.66,"$1,646.47","$635,112","39,792","1,175",373,$15.96,$540.52,"$1,702.71","$317,134","23,407",731,300,$13.55,$433.84,"$1,057.11","$225,904","15,468",776,348,$14.60,$291.11,$649.15,"$278,320","16,682",786,250,$16.68,$354.10,"$1,113.28",$13.33,14.24%,0.46%
J0401,"Injection, aripiprazole, extended release, 1 mg",Abilify Maintena,Aripiprazole,,,,,,,,,,,,,,,"$814,531","217,769",713,253,$3.74,"$1,142.40","$3,219.49","$1,817,052","460,019","1,568",485,$3.95,"$1,158.83","$3,746.50","$2,422,097","582,030","1,996",477,$4.16,"$1,213.48","$5,077.77",$4.32,5.35%,5.48%
A9583,"Injection, gadofosveset trisodium, 1 ml",Ablavar,Gadofosveset TrIsodium,"$47,794","3,463",352,346,$13.80,$135.78,$138.13,"$40,328","3,527",380,370,$11.43,$106.13,$109.00,"$39,594","3,401",370,360,$11.64,$107.01,$109.98,"$45,765","3,449",383,378,$13.27,$119.49,$121.07,"$45,230","2,897",326,325,$15.61,$138.74,$139.17,$16.43,17.66%,3.13%
J9264,"Injection, paclitaxel protein-bound particles, 1 mg",Abraxane,Paclitaxel Protein-Bound,"$134,128,476","14,085,125","60,473","8,392",$9.52,"$2,217.99","$15,982.90","$213,007,581","22,660,310","97,001","14,091",$9.40,"$2,195.93","$15,116.57","$276,407,507","29,223,355","124,175","17,742",$9.46,"$2,225.95","$15,579.28","$277,189,722","28,967,095","122,746","17,848",$9.57,"$2,258.24","$15,530.58","$274,334,848","27,661,567","115,988","17,380",$9.92,"$2,365.20","$15,784.51",$10.10,3.64%,1.02%
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*,"$311,830","107,702","1,874","1,748",$2.90,$166.40,$178.39,"$594,693","211,802","1,451","1,344",$2.81,$409.85,$442.48,"$271,382","115,329","1,418","1,266",$2.35,$191.38,$214.36,"$192,487","101,554","1,374","1,192",$1.90,$140.09,$161.48,"$113,117","71,638","1,542","1,060",$1.58,$73.36,$106.71,$1.61,-16.69%,-14.06%
J7608,"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",Acetylcysteine,Acetylcysteine,"$1,025,456","448,775","19,356","6,559",$2.29,$52.98,$156.34,"$347,423","156,764","8,424","2,811",$2.22,$41.24,$123.59,"$630,910","254,319","11,380","3,178",$2.48,$55.44,$198.52,"$1,135,950","316,269","13,910","3,785",$3.59,$81.66,$300.12,"$1,392,097","379,998","14,130","4,460",$3.66,$98.52,$312.13,$4.71,2.00%,12.53%
J3262,"Injection, tocilizumab, 1 mg",Actemra,Tocilizumab,"$86,508,399","24,735,018","46,405","7,140",$3.50,"$1,864.20","$12,116.02","$120,590,308","33,320,940","61,119","9,155",$3.62,"$1,973.04","$13,172.07","$141,861,379","39,091,300","71,161","9,944",$3.63,"$1,993.53","$14,266.03","$157,425,906","41,921,427","75,955","10,252",$3.76,"$2,072.62","$15,355.63","$184,202,071","46,254,546","83,190","11,167",$3.98,"$2,214.23","$16,495.22",$4.05,6.05%,3.30%
J2997,"Injection, alteplase recombinant, 1 mg",Activase*,Alteplase*,"$25,001,727","556,287","81,928","53,227",$44.94,$305.17,$469.72,"$31,015,389","591,927","81,040","54,041",$52.40,$382.72,$573.92,"$38,299,804","631,815","85,722","56,596",$60.62,$446.79,$676.72,"$49,884,376","719,718","82,444","54,137",$69.31,$605.07,$921.45,"$59,436,958","793,417","85,230","56,142",$74.91,$697.37,"$1,058.69",$77.38,8.08%,13.62%
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,"$259,758","670,742",537,208,$0.39,$483.72,"$1,248.84","$200,114","519,406",486,155,$0.39,$411.76,"$1,291.06","$254,620","643,578",595,197,$0.40,$427.93,"$1,292.49","$285,226","714,816",681,173,$0.40,$418.83,"$1,648.70","$230,030","582,121",570,178,$0.40,$403.56,"$1,292.31",$0.08,-0.97%,0.51%
