Manufacturer Name,NDC Number,Effective Date,History Effective Date,WAC Increase Amount,WAC Amount
AbbVie,00032120370,01/14/2022,12/22/2017,$5.59,$86.62
AbbVie,00032120370,01/14/2022,01/01/2019,$5.37,$91.99
AbbVie,00032120370,01/14/2022,01/01/2020,$6.81,$98.80
AbbVie,00032120370,01/14/2022,01/01/2021,$6.13,$104.93
AbbVie,00032120370,01/14/2022,01/14/2022,$6.50,$111.43
AbbVie,00032120601,01/14/2022,12/22/2017,$9.45,$146.51
AbbVie,00032120601,01/14/2022,01/01/2019,$9.08,$155.59
AbbVie,00032120601,01/14/2022,01/01/2020,$11.51,$167.10
AbbVie,00032120601,01/14/2022,01/01/2021,$10.37,$177.47
AbbVie,00032120601,01/14/2022,01/14/2022,$11.00,$188.47
AbbVie,00032120607,01/14/2022,12/22/2017,$23.64,$366.30
AbbVie,00032120607,01/14/2022,01/01/2019,$22.72,$389.02
AbbVie,00032120607,01/14/2022,01/01/2020,$28.78,$417.80
AbbVie,00032120607,01/14/2022,01/01/2021,$25.91,$443.71
AbbVie,00032120607,01/14/2022,01/14/2022,$27.51,$471.22
AbbVie,00032121201,01/14/2022,12/22/2017,$18.91,$292.85
AbbVie,00032121201,01/14/2022,01/01/2019,$18.15,$311.00
AbbVie,00032121201,01/14/2022,01/01/2020,$23.02,$334.02
AbbVie,00032121201,01/14/2022,01/01/2021,$20.71,$354.73
AbbVie,00032121201,01/14/2022,01/14/2022,$21.99,$376.72
AbbVie,00032121207,01/14/2022,12/22/2017,$47.25,$732.11
AbbVie,00032121207,01/14/2022,01/01/2019,$45.39,$777.50
AbbVie,00032121207,01/14/2022,01/01/2020,$57.53,$835.03
AbbVie,00032121207,01/14/2022,01/01/2021,$51.78,$886.81
AbbVie,00032121207,01/14/2022,01/14/2022,$54.98,$941.79
AbbVie,00032122401,01/14/2022,12/22/2017,$37.47,$580.48
AbbVie,00032122401,01/14/2022,01/01/2019,$35.98,$616.46
AbbVie,00032122401,01/14/2022,01/01/2020,$45.62,$662.08
AbbVie,00032122401,01/14/2022,01/01/2021,$41.05,$703.13
AbbVie,00032122401,01/14/2022,01/14/2022,$43.60,$746.73
AbbVie,00032122407,01/14/2022,12/22/2017,$92.16,"$1,427.82"
AbbVie,00032122407,01/14/2022,01/01/2019,$88.52,"$1,516.34"
AbbVie,00032122407,01/14/2022,01/01/2020,$112.22,"$1,628.56"
AbbVie,00032122407,01/14/2022,01/01/2021,$100.96,"$1,729.52"
AbbVie,00032122407,01/14/2022,01/14/2022,$107.23,"$1,836.75"
AbbVie,00032301613,01/14/2022,12/22/2017,$56.88,$881.38
AbbVie,00032301613,01/14/2022,01/01/2019,$54.65,$936.03
AbbVie,00032301613,01/14/2022,01/01/2020,$69.26,"$1,005.29"
