OSHPD ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
Rx0000077,AbbVie,03/31/2022,00074081702,(adalimumab) HUMIRA 10MG/0.1ML PFS 2-PACK,01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074006702,"(adalimumab) HUMIRA 1X80MG,0.8ML, 1X40MG,0.4ML PFS2PKPED CROHN'S STARTER PACK",01/14/2022,662.47,9614.78,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074061602,(adalimumab) HUMIRA 20MG/0.2ML PFS 2-PACK,01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074433902,(adalimumab) HUMIRA 40MG/0.8 ML (2 PENS),01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074379902,(adalimumab) HUMIRA 40MG/0.8ML (2 SYRINGES),01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074254003,"(adalimumab) HUMIRA 80MG, 0.8ML PFS 3-PACKPED CROHN'S STARTER PACK",01/14/2022,1324.95,19229.57,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074012403,"(adalimumab) HUMIRA CROHN'S 80MG/0.8ML, 3 PENS STARTER PACK",01/14/2022,1324.95,19229.57,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074055402,"(adalimumab) HUMIRA PEN, 40MG/0.4ML, 2 PENS",01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074024302,"(adalimumab) HUMIRA PFS, 40MG/0.4ML, 2 SYRINGES",01/14/2022,441.65,6409.83,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074153903,"(adalimumab) HUMIRA PSORIASIS; 1X80MG, 2X40MG (3PENS) STARTER PACK",01/14/2022,883.29,12819.69,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
