Manufacturer Name,NDC Number,Effective Date,History Effective Date,WAC Increase Amount,WAC Amount
AbbVie,00032120370,01/01/2021,12/26/2016,$3.79,$81.03
AbbVie,00032120370,01/01/2021,12/22/2017,$5.59,$86.62
AbbVie,00032120370,01/01/2021,01/01/2019,$5.37,$91.99
AbbVie,00032120370,01/01/2021,01/01/2020,$6.81,$98.80
AbbVie,00032120370,01/01/2021,01/01/2021,$6.13,$104.93
AbbVie,00032120601,01/01/2021,12/26/2016,$6.41,$137.06
AbbVie,00032120601,01/01/2021,12/22/2017,$9.45,$146.51
AbbVie,00032120601,01/01/2021,01/01/2019,$9.08,$155.59
AbbVie,00032120601,01/01/2021,01/01/2020,$11.51,$167.10
AbbVie,00032120601,01/01/2021,01/01/2021,$10.37,$177.47
AbbVie,00032120607,01/01/2021,12/26/2016,$16.01,$342.66
AbbVie,00032120607,01/01/2021,12/22/2017,$23.64,$366.30
AbbVie,00032120607,01/01/2021,01/01/2019,$22.72,$389.02
AbbVie,00032120607,01/01/2021,01/01/2020,$28.78,$417.80
AbbVie,00032120607,01/01/2021,01/01/2021,$25.91,$443.71
AbbVie,00032121201,01/01/2021,12/26/2016,$12.79,$273.94
AbbVie,00032121201,01/01/2021,12/22/2017,$18.91,$292.85
AbbVie,00032121201,01/01/2021,01/01/2019,$18.15,$311.00
AbbVie,00032121201,01/01/2021,01/01/2020,$23.02,$334.02
AbbVie,00032121201,01/01/2021,01/01/2021,$20.71,$354.73
AbbVie,00032121207,01/01/2021,12/26/2016,$31.99,$684.86
AbbVie,00032121207,01/01/2021,12/22/2017,$47.25,$732.11
AbbVie,00032121207,01/01/2021,01/01/2019,$45.39,$777.50
AbbVie,00032121207,01/01/2021,01/01/2020,$57.53,$835.03
AbbVie,00032121207,01/01/2021,01/01/2021,$51.78,$886.81
AbbVie,00032122401,01/01/2021,12/26/2016,$25.36,$543.01
AbbVie,00032122401,01/01/2021,12/22/2017,$37.47,$580.48
AbbVie,00032122401,01/01/2021,01/01/2019,$35.98,$616.46
AbbVie,00032122401,01/01/2021,01/01/2020,$45.62,$662.08
AbbVie,00032122401,01/01/2021,01/01/2021,$41.05,$703.13
AbbVie,00032122407,01/01/2021,12/26/2016,$62.38,"$1,335.66"
AbbVie,00032122407,01/01/2021,12/22/2017,$92.16,"$1,427.82"
AbbVie,00032122407,01/01/2021,01/01/2019,$88.52,"$1,516.34"
AbbVie,00032122407,01/01/2021,01/01/2020,$112.22,"$1,628.56"
AbbVie,00032122407,01/01/2021,01/01/2021,$100.96,"$1,729.52"
AbbVie,00032301613,01/01/2021,12/26/2016,$38.52,$824.50
AbbVie,00032301613,01/01/2021,12/22/2017,$56.88,$881.38
AbbVie,00032301613,01/01/2021,01/01/2019,$54.65,$936.03
AbbVie,00032301613,01/01/2021,01/01/2020,$69.26,"$1,005.29"
AbbVie,00032301613,01/01/2021,01/01/2021,$62.33,"$1,067.62"
AbbVie,00032301628,01/01/2021,12/26/2016,$96.28,"$2,060.99"
AbbVie,00032301628,01/01/2021,12/22/2017,$142.20,"$2,203.19"
AbbVie,00032301628,01/01/2021,01/01/2019,$136.60,"$2,339.79"
AbbVie,00032301628,01/01/2021,01/01/2020,$173.15,"$2,512.94"
AbbVie,00032301628,01/01/2021,01/01/2021,$155.80,"$2,668.74"
AbbVie,00074006702,01/01/2021,01/01/2019,$453.10,"$7,761.16"
AbbVie,00074006702,01/01/2021,01/01/2020,$574.32,"$8,335.48"
AbbVie,00074006702,01/01/2021,01/01/2021,$616.83,"$8,952.31"
AbbVie,00074012403,01/01/2021,01/01/2019,$906.20,"$15,522.32"
AbbVie,00074012403,01/01/2021,01/01/2020,"$1,148.65","$16,670.97"
AbbVie,00074012403,01/01/2021,01/01/2021,"$1,233.65","$17,904.62"
AbbVie,00074024302,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074024302,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074024302,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074055402,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074055402,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074055402,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074061602,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074061602,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074061602,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074081702,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074081702,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074081702,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074105205,01/01/2021,04/01/2016,$67.58,"$1,047.00"
AbbVie,00074105205,01/01/2021,04/03/2017,$72.24,"$1,119.24"
AbbVie,00074105205,01/01/2021,01/01/2018,$105.21,"$1,224.45"
AbbVie,00074105205,01/01/2021,01/01/2019,$75.92,"$1,300.37"
AbbVie,00074105205,01/01/2021,01/01/2020,$96.23,"$1,396.60"
AbbVie,00074105205,01/01/2021,01/01/2021,$86.59,"$1,483.19"
AbbVie,00074105305,01/01/2021,04/01/2016,$202.74,"$3,141.04"
AbbVie,00074105305,01/01/2021,04/03/2017,$216.73,"$3,357.77"
AbbVie,00074105305,01/01/2021,01/01/2018,$315.63,"$3,673.40"
AbbVie,00074105305,01/01/2021,01/01/2019,$227.75,"$3,901.15"
AbbVie,00074105305,01/01/2021,01/01/2020,$288.69,"$4,189.84"
AbbVie,00074105305,01/01/2021,01/01/2021,$259.77,"$4,449.61"
AbbVie,00074153903,01/01/2021,01/01/2019,$604.14,"$10,348.20"
AbbVie,00074153903,01/01/2021,01/01/2020,$765.76,"$11,113.96"
AbbVie,00074153903,01/01/2021,01/01/2021,$822.44,"$11,936.40"
AbbVie,00074210803,01/01/2021,04/01/2016,$81.30,"$1,259.54"
AbbVie,00074210803,01/01/2021,04/03/2017,$86.91,"$1,346.45"
AbbVie,00074210803,01/01/2021,01/01/2018,$126.57,"$1,473.02"
AbbVie,00074210803,01/01/2021,01/01/2019,$91.33,"$1,564.35"
AbbVie,00074210803,01/01/2021,01/01/2020,$115.76,"$1,680.11"
AbbVie,00074210803,01/01/2021,01/01/2021,$104.17,"$1,784.28"
