HCAI ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
Rx0000077,AbbVie,03/31/2021,00074081702,(adalimumab) HUMIRA 10MG/0.1ML PFS 2-PACK,01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074006702,"(adalimumab) HUMIRA 1X80MG,0.8ML, 1X40MG,0.4ML PFS2PK",01/01/2021,616.83,8952.31,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074061602,(adalimumab) HUMIRA 20MG/0.2ML PFS 2-PACK,01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074937402,(adalimumab) HUMIRA 20MG/0.4ML (2 SYRINGES),01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074433902,(adalimumab) HUMIRA 40MG/0.8 ML (2 PENS),01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074379902,(adalimumab) HUMIRA 40MG/0.8ML (2 SYRINGES),01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074254003,"(adalimumab) HUMIRA 80MG, 0.8ML PFS 3-PACK",01/01/2021,1233.65,17904.62,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074012403,"(adalimumab) HUMIRA 80MG,0.8mL 3 Pens",01/01/2021,1233.65,17904.62,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074153903,"(adalimumab) HUMIRA KIT 80MG/0.8ML, 40MG/0.4ML 3 PENS",01/01/2021,822.44,11936.40,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2021,00074055402,"(adalimumab) HUMIRA PEN, 40MG/0.4ML, 2 PENS",01/01/2021,411.21,5968.18,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
