"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,,
02/10/2022,Positive-Health,Rise Up Red Edition Capsules,Drugs,Undeclared Tadalafil,Positive-Health,Terminated
02/08/2018,Baxter,"intravenous (IV) solutions: 0.9% Sodium Chloride Injection, USP, 250 mL VIAFLEX Plastic Container and 70% Dextrose Injection (2000 mL) USP",Drugs,Labeled as Eliquis5 mg was found to contain Eliquis 2.5 mg tablets,Baxter International Inc.,Terminated
02/06/2018,PharMEDium,Norepinephrine Bitartrate added to Sodium Chloride,Drugs,Found to exhibit a slight discoloration in the admixture,"PharMEDium Services, LLC",Terminated
02/06/2018,Advanced Pharma,"All unexpired sterile injectable products labeled “latex free” that were produced at Advanced Pharma, Inc.’s Houston location","Drugs, Generic Drugs",Potential Inaccuracy of Latex Free Label Reference,Avella Specialty Pharmacy,Terminated
02/08/2018,"Hospira, Inc.",Vancomycin Hydrochloride for injection,Drugs,Due to the Presence of Particulate Matter,"Hospira, Inc.",Terminated
02/08/2018,Synergy Rx Pharmacy,Non-sterile drug products,"Drugs, Food & Beverages",Lack of Quality Assurance,Synergy Rx Pharmacy,Terminated
02/08/2018,Edex,Alprostadil for injection,"Drugs, Food & Beverages, Generic Drugs",Potential Lack of Sterility Assurance,Endo Pharmaceuticals Inc.,Terminated
02/07/2018,Synergy Rx Pharmacy,Human Chorionic Gonadotropin (HCG)for injection,Drugs,Due to Lack of Sterility Assurance,Synergy Rx Pharmacy,Terminated
02/08/2018,X-Gen,"Ibuprofen Lysine Injection, 20 mg/2 mL","Drugs, Generic Drugs",Some of the vials have been found to contain particulate matter,"Exela Pharma Sciences, LLC",Terminated
02/07/2018,Isomeric Pharmacy Solutions,Multiple compounded sterile products,Drugs,Due to Lack of Sterility Assurance,Isomeric Pharmacy Solutions,Terminated
02/08/2018,Hyland's,Baby teething tablets and Nightime teething tablets,"Drugs, Generic Drugs",Mislabeling,Standard Homeopathic Company,Terminated
02/09/2018,LaBri’s Body Health,Dietary Supplement,Drugs,Mislabeling,Envy Me,Terminated
02/08/2018,"Uproar, Cummor, Zrect, Monkey Business and others",Dietary Supplement,Drugs,"Undeclared Active Ingredients tadalafil, sildenafil and analogues","Organic Herbal Supply, Inc.",Terminated
02/08/2018,"C.O. Truxton, Inc.","Phenobarbital Tablets, USP, 15 mg","Animal & Veterinary, Drugs",Due to Labeling Error on Declared Strength,"C.O. Truxton, Inc.",Terminated
02/06/2018,Truxton Incorporated,"Amitriptyline HCL Tablets, USP 50mg andPhenobarbital Tablets, USP 15mg, 30mg, 60mg, 100mg","Animal & Veterinary, Drugs",Label Mix-up Error,"C.O. Truxton, Inc.",Terminated
02/06/2018,Advanced Pharma,Potassium Phosphate and Succinylcholine Chloride,Drugs,Due to Lack of Sterility Assurance,"Advanced Pharma, Inc. d/b/a Avella of Houston",Terminated
02/08/2018,Astrazeneca,professional (physician) sample BRILINTA (ticagrelor) 90mg tablets,"Drugs, Generic Drugs",Another medicine present,Astrazeneca,Terminated
02/06/2018,"Teva Pharmaceuticals USA, Inc","Paliperidone Extended-Release Tablets, 3mg",Drugs,Due to Dissolution Test Failure,"Teva Pharmaceuticals USA, Inc",Terminated
02/06/2018,Lupin,Mibelas 24 Fe (Norethindrone Acetate and Ethinyl Estradiol 1 mg/0.02 mg chewable and ferrous fumarate 75 mg),"Drugs, Generic Drugs",Missing Expiry,Lupin Pharmaceuticals Inc.,Terminated
02/06/2018,Advanced Pharma,Nitroglycerin products,Drugs,Due To Sub-Potency,"Advanced Pharma, Inc. d/b/a Avella of Houston",Terminated
02/06/2018,Hospira,"8.4% Sodium Bicarbonate Injection, USP, NeutTM (Sodium Bicarbonate 4% additive solution), QUELICINTM (Succinylcholine Chloride Injection, USP) and Potassium Phosphates Injection, USP",Drugs,Due to microbial growth,"Hospira Inc, A Pfizer Company",Terminated
02/08/2018,The Green Herb,AL-ER-G dietary supplement,"Drugs, Food & Beverage Safety, Generic Drugs","Presence of Ephedra Herb, an FDA banned ingredient",MusclMasster LLC,Terminated
02/08/2018,"Tetracycline-ABC, Tetrastem, Diabecline and more",topical products,"Drugs, Generic Drugs",Manufacturing Practices,Phillips Company,Terminated
02/08/2018,Fagron Sterile Services,Succinylcholine Chloride 20mg/mL,"Drugs, Generic Drugs",Lack of Sterility Assurance,Fagron Sterile Services,Terminated
02/08/2018,Alvogen,Clindamycin Injection USP,Drugs,Due to Lack of Sterility Assurance,Alvogen,Terminated
02/08/2018,Bristol-Myers Squibb,Eliquis (apixaban) 5 mg Tablets,Drugs,Potential Labeling Issue,Bristol-Myers Squibb,Terminated
02/07/2018,PharMEDium,Potassium Phosphate and Succinylcholine Chloride Intravia Bags,Drugs,Due to Lack of Sterility Assurance,PharMEDium Services,Terminated
02/08/2018,Super Panther 7K,Dietary Supplement,"Dietary Supplements, Drugs, Nutritional Supplement, Generic Drugs",Unapproved new drug,Ultra Shop Supplement,Terminated
02/08/2018,"ICU Medical, Inc.","0.9% Sodium Chloride Injection, USP 1000 mL",Drugs,Due to the Presence of Particulate Matter,"ICU Medical, Inc.",Terminated
02/08/2018,Andropharm,Sten Z and M1 Alphas capsules,"Dietary Supplements, Drugs",Contain derivatives of anabolic steroids,Andropharm,Terminated
02/07/2018,Apace Packaging LLC,Cyclobenzaprine HCl Tablet and Amantadine HCl Capsule,"Drugs, Generic Drugs",Cyclobenzaprine HCL may contain Amantadine HCL Capsules,Apace Packaging LLC,Terminated
02/08/2018,Man of Steel,Man of Steel 1 and Man of Steel 2,Drugs,Due to Presence of Undeclared Sildenafil,Man of Steel,Terminated
02/08/2018,LaBri's Body Health,Dietary Supplement,Drugs,Due to presence of Sibutramine,EZ Weight Loss TX,Terminated
02/06/2018,Atlantic Pharmacy and Compounding,All compounded injectable prescription medications,"Drugs, Generic Drugs",Lack of Sterility Assurance,"Vital Rx, Inc. d/b/a Atlantic Pharmacy and Compounding",Terminated
02/08/2018,Piyanping,Anti-Itch Lotion,Drugs,Due to Incorrect Active Ingredient,Lucky Mart Inc.,Terminated
02/08/2018,Doctor Manzanilla,"Allergy, cough medicine","Drugs, Generic Drugs",Burkholderia Cepacia,Mid Valley Pharmaceutical,Terminated
02/06/2018,"Leader, Major, Rugby",Liquid drug products,Drugs,Possible contamination,Cardinal Health,Terminated
08/30/2017,"Hospira, Inc.",Vancomycin Hydrochloride for Injection,Drugs,Due to the Presence of Particulate Matter,"Hospira, Inc.",Terminated
