"Medicare Part B Brand, Generic and Manufacturer Information",,,,
,,,,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Manufacturer
90371,Hepatitis B immune globulin for injection into muscle,HyperHEP B S-D,Hepatitis B Immune Globulin,Grifols Therape
90371,Hepatitis B immune globulin for injection into muscle,Nabi-Hb,Hepatitis B Immune Globulin,Biotest Pharm
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,HyperRAB S-D,Rabies Immune Globulin/PF,Grifols Therape
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF,Sanofi-Pasteur
90585,Vaccine for tuberculosis injection into skin,BCG (Tice Strain),BCG Live,Organon Pharm.
90585,Vaccine for tuberculosis injection into skin,BCG Vaccine (Tice Strain),"BCG Vaccine, Live/PF",Organon Pharm.
90586,Vaccine for bladder cancer injection into urinary bladder,BCG (Tice Strain),BCG Live,Organon Pharm.
90586,Vaccine for bladder cancer injection into urinary bladder,BCG Vaccine (Tice Strain),"BCG Vaccine, Live/PF",Organon Pharm.
90586,Vaccine for bladder cancer injection into urinary bladder,Theracys,BCG Live,Sanofi-Pasteur
90630,Vaccine for influenza for injection into skin,,,
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",Havrix,Hepatitis A Virus Vaccine/PF,Glaxosmithkline
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",Vaqta,Hepatitis A Virus Vaccine/PF,Merck Sharp & D
90653,Vaccine for influenza for injection into muscle,,,
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",,,
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",,,
90661,Vaccine for influenza for injection into muscle,,,
90662,Vaccine for influenza for injection into muscle,,,
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumococcal 13-Valent Vaccine,Wyeth Pharm
90672,Vaccine for influenza for nasal administration,,,
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",,,
90675,Vaccine for rabies injection into muscle,Imovax Rabies Vaccine,"Rabies Vacc, Human Diploid/PF",Sanofi-Pasteur
90675,Vaccine for rabies injection into muscle,Rabavert,Rabies Vaccine (Pcec)/PF,Novartis/GSK
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,,,
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,,,
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,,,
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,,,
90691,Vaccine for typhoid for injection into muscle,Typhim Vi,Typhoid Vi Polysacch Vaccine,A-S Medication
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tenivac,Tetanus-Diphtheria Toxoids/PF,Sanofi-Pasteur
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tetanus Diphtheria Toxoids,"Tetanus, Diphtheria Tox,adult",Grifols Therape
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Adacel Tdap,"Diph,pertuss(Acell),tet Vac/PF",Sanofi-Pasteur
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Boostrix Tdap,"Diphth,pertuss(Acell),tet Vac",Glaxosmithkline
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",,,
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",,,
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",,,
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",,,
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,,,
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",,,
A9575,"Injection, gadoterate meglumine, 0.1 ml",Dotarem,Gadoterate Meglumine,Guerbet LLC
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,Bracco Diag
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,Bracco Diag
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,Bracco Diag
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist,Gadopentetate Dimeglumine,"Bayer,Pharm Div"
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Omniscan,Gadodiamide,GE Health/Nova+
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Omniscan,Gadodiamide,GE Healthcare
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Omniscan Prefill Plus,Gadodiamide In 0.9 % NaCl,GE Healthcare
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Optimark,Gadoversetamide,Mallinckrodt Im
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Prohance,Gadoteridol,Bracco Diag
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate DIsodium,"Bayer,Pharm Div"
A9583,"Injection, gadofosveset trisodium, 1 ml",Ablavar,Gadofosveset TrIsodium,Lantheus Medica
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,"Bayer,Pharm Div"
J0129,"Injection, abatacept, 10 mg",Orencia,Abatacept,BMS Primarycare
J0129,"Injection, abatacept, 10 mg",Orencia,Abatacept/Maltose,BMS Primarycare
J0130,"Injection abciximab, 10 mg",Reopro,Abciximab,Eli Lilly & Co.
J0132,"Injection, acetylcysteine, 100 mg",Acetadote,Acetylcysteine,Cumberland Phar
J0132,"Injection, acetylcysteine, 100 mg",Acetylcysteine,Acetylcysteine,APP/Fresenius K
J0132,"Injection, acetylcysteine, 100 mg",Acetylcysteine,Acetylcysteine,Akorn Inc.
J0132,"Injection, acetylcysteine, 100 mg",Acetylcysteine,Acetylcysteine,Paddock/Novaplu
J0132,"Injection, acetylcysteine, 100 mg",Acetylcysteine,Acetylcysteine,Perrigo Co.
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,APP/Fresenius K
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,Bedford Labs
J0135,"Injection, adalimumab, 20 mg",Humira,Adalimumab,Abbvie US LLC
J0135,"Injection, adalimumab, 20 mg",Humira Pediatric Crohn's,Adalimumab,Abbvie US LLC
J0135,"Injection, adalimumab, 20 mg",Humira Pen,Adalimumab,Abbvie US LLC
J0135,"Injection, adalimumab, 20 mg",Humira Pen Crohn-Uc-Hs Starter,Adalimumab,Abbvie US LLC
J0135,"Injection, adalimumab, 20 mg",Humira Pen Psoriasis-Uveitis,Adalimumab,Abbvie US LLC
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard,Adenosine,Astellas Pharma
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenoscan,Adenosine,Astellas Pharma
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,APP/Fresenius K
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,Akorn Inc.
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,Hospira
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,Sagent Pharme
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,Sagent/Novaplus
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,Teva Parenteral
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine,Adenosine,"West-Ward, Inc."
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin,Epinephrine,Par Pharmeuti
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine,A-S Medication
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine,Amer. Regent
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine,Hospira
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine,Hospira/Novaplu
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine,"West-Ward, Inc."
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Epinephrine,Epinephrine HCL/PF,Amer. Regent
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,Regeneron Pharm
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta,Genzyme
J0207,"Injection, amifostine, 500 mg",Amifostine,Amifostine Crystalline,Bedford Labs
J0207,"Injection, amifostine, 500 mg",Amifostine,Amifostine Crystalline,Sun Pharma Glob
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,Genzyme
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP,Alpha-1-Proteinase Inhibitor,Baxalta US Inc.
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Prolastin C,Alpha-1-Proteinase Inhibitor,Grifols Therape
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Zemaira,Alpha-1-Proteinase Inhibitor,CSL Behring LLC
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,Baxalta US Inc.
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,APP/Fresenius K
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,Bedford Labs
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,Heritage Pharma
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,Teva Parenteral
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,"West-Ward, Inc."
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,Hospira
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,Hospira/Novaplu
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,X-Gen Pharmeu
J0287,"Injection, amphotericin b lipid complex, 10 mg",Abelcet,Amphotericin B Lipid Complex,Sigma-Tau
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome,Amphotericin B Liposome,Astellas Pharma
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,APP/Fresenius K
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,Sagent Pharme
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,Sandoz
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,Sandoz/Novaplus
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,Sandoz/Premier
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,WG Critical Car
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,APP/Fresenius K
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,Hospira
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,Mylan Instituti
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,Sagent Pharme
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,Sandoz
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,WG Critical Car
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,"West-Ward, Inc."
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Unasyn,Ampicillin Sodium/Sulbactam Na,Pfizer US Pharm
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,APP/Fresenius K
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,APP/Novaplus
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,APP/Premierpro
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,Akorn Inc.
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,Amer. Regent
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,Mylan Instituti
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,X-Gen Pharmeu
J0400,"Injection, aripiprazole, intramuscular, 0.25 mg",,,
J0401,"Injection, aripiprazole, extended release, 1 mg",Abilify Maintena,Aripiprazole,Otsuka America
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,APP/Fresenius K
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,APP/Novaplus
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,APP/Premierpro
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,Hospira
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,"Pliva, Inc"
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,Sagent Pharme
J0456,"Injection, azithromycin, 500 mg",Azithromycin,Azithromycin,Sun Pharmeuti
J0456,"Injection, azithromycin, 500 mg",Zithromax,Azithromycin,Pfizer US Pharm
J0456,"Injection, azithromycin, 500 mg",Zithromax,Azithromycin,Pfizer/Amerinet
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,A-S Medication
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,Amer. Regent
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,Hospira
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,"West-Ward, Inc."
J0475,"Injection, baclofen, 10 mg",Gablofen,Baclofen,Mallinckrodt Br
J0475,"Injection, baclofen, 10 mg",Lioresal Intrathecal,Baclofen,Medtronic/Saol
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Gablofen,Baclofen,Mallinckrodt Br
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Lioresal Intrathecal,Baclofen,Medtronic/Saol
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,Novartis
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,BMS Primarycare
